Alternative,g1,g2,g3,g4,g5,g6,g7,Class
a247,0.5,0,0.375,0,0.5,1,0,Cl1
a248,1,1,0.125,1,1,0,1,Cl2
a249,1,0.833333,0.125,0,0,1,1,Cl1
a250,0.5,0.666667,0.375,1,1,1,0,Cl2
a251,1,0.833333,0,0,0.5,0,0,Cl1
a252,1,0.666667,0.625,1,0.5,0,0,Cl1
a253,0.5,0.833333,0.125,1,0,0,0,Cl1
a254,0.5,0.166667,0.125,0,0.5,0,1,Cl1
a255,0,0.833333,0.625,0,1,1,0,Cl2
a256,0,0.666667,0,1,1,1,0,Cl1
a257,1,0.833333,0.625,1,1,1,0,Cl2
a258,0,1,0.5,1,0,1,0,Cl1
a259,0.5,0.833333,0.25,0,0.5,0,0,Cl1
a260,0,0.5,0.125,0,0,0,0,Cl1
a261,0,0.333333,0,0,1,1,0,Cl1
a262,0.5,0.5,0.25,0,0,0,1,Cl1
a263,1,0,0.25,1,0,0,1,Cl1
a264,0.5,1,0.125,0,0.5,1,1,Cl1
a265,0,0,0.5,1,0.5,1,0,Cl1
a266,1,0.333333,0.375,0,0,1,0,Cl1
a267,0,1,0.375,1,1,0,1,Cl2
a268,0.5,0.833333,0.375,1,0,0,0,Cl1
a269,1,0.5,0.25,0,1,1,1,Cl2
a270,0,0.333333,0.125,1,0.5,1,0,Cl1
a271,1,0.833333,0.25,1,0,1,0,Cl1
a272,0.5,0.833333,0,1,0,0,0,Cl1
a273,0.5,0.166667,1,0,1,0,0,Cl1
a274,0.5,0.166667,0.375,0,0.5,0,0,Cl1
a275,0,0.666667,0.5,0,1,1,1,Cl2
a276,0.5,0.333333,0.25,0,1,1,1,Cl1
a277,1,1,1,1,1,0,0,Cl2
a278,1,1,0.125,0,1,0,1,Cl2
