Alternative,g1,g2,g3,g4,g5,g6,g7,g8,Class
a77,0.666667,0.452326,0.833333,0.8,0.165698,0,1,0.5,Cl2
a78,0.333333,0.47093,0.166667,0,0.174419,1,0.666667,0,Cl1
a79,1,0.094186,1,0,0.19186,0,0.666667,0,Cl1
a80,1,0.068605,0.666667,0.6,0.273256,0.5,0,0,Cl1
a81,0.666667,0.960465,1,0.8,0.186047,1,0.666667,0,Cl2
a82,1,0.145349,0.166667,0,0.090116,1,0.333333,1,Cl1
a83,1,0.447674,1,0.8,0.142442,0.5,0.333333,0.5,Cl2
a84,1,0.960465,1,0.6,0.005814,0,0,0.5,Cl2
a85,0.333333,0.154651,0,1,0.133721,1,0.333333,1,Cl2
a86,0.666667,0.447674,0.333333,0.8,0.200581,1,0,0.5,Cl2
a87,1,0.125581,0.166667,0.8,0.476744,1,0.333333,0,Cl2
a88,0,0.674419,0.166667,1,0.133721,0.5,0,1,Cl2
a89,0,0.018605,1,0.4,0.148256,1,1,0.5,Cl1
a90,0.333333,0.126744,0.833333,0.8,0.139535,0,1,1,Cl2
a91,0,0.183721,0.5,0.4,0.30814,1,0.333333,0,Cl1
a92,0.666667,0.032558,0.666667,0.6,0.049419,0.5,0.666667,0,Cl1
a93,0.666667,0.184884,0,0.6,0.011628,0.5,0.333333,1,Cl2
a94,0.333333,0.072093,0.5,1,0.186047,0.5,0,0.5,Cl2
a95,0,0.065116,1,0.6,0.093023,0,0.333333,0.5,Cl1
a96,1,0.297674,0.333333,0.6,0.19186,1,0,1,Cl2
a97,1,0.209302,0,0,0.110465,1,1,1,Cl1
a98,0,0.098837,0.833333,1,1,1,0.333333,0,Cl2
a99,1,0.452326,0,0.4,0.081395,0,0.666667,0.5,Cl2
a100,1,0.253488,0.5,0.6,0.313953,1,1,0.5,Cl2
a101,0,0.005814,0.333333,0,0.145349,0,1,1,Cl1
a102,0.666667,0.5,0.5,0.6,0.273256,0.5,0.666667,0,Cl2
a103,0.333333,0.253488,0.833333,0.4,0.796512,0,1,0,Cl1
a104,0.666667,0.084884,0,1,0.162791,0,1,0,Cl1
a105,0.666667,0.27907,0.833333,0.8,0.034884,0.5,0.666667,0.5,Cl2
a106,1,0.415116,0.666667,0.6,0.02907,0.5,1,0.5,Cl2
a107,0.666667,0.173256,0,0.4,0.040698,0,0.666667,0,Cl1
a108,1,0.003488,1,0.4,0.049419,0,0,0,Cl1
a109,0.333333,0.223256,1,0,0.110465,0,0,1,Cl1
a110,0.333333,0.218605,0,0.4,0.005814,0,0,0.5,Cl1
a111,1,0.276744,0.166667,1,0.078488,0.5,0.333333,0,Cl2
a112,1,0.753488,0,0.8,0.113372,0,1,0,Cl2
a113,0.333333,0.184884,1,0.6,0.093023,0,0.666667,0.5,Cl2
a114,0.333333,0.447674,0,1,0.061047,0.5,1,0.5,Cl2
a115,0.666667,0.47093,1,0.2,0.090116,1,0,1,Cl2
a116,1,0.093023,0.166667,0.2,0.139535,1,0.333333,0,Cl1
a117,0.333333,0.151163,0.833333,0.8,0.02907,0.5,1,1,Cl2
a118,0.666667,0.184884,0.666667,0.6,0.052326,0.5,1,1,Cl2
a119,1,0.297674,0.666667,1,0.072674,0.5,0.333333,0,Cl2
a120,1,0.213953,0.166667,1,0.276163,0,1,0,Cl2
