Alternative,g1,g2,g3,g4,Class
a259,0.214286,0.714286,0.461538,0.928571,Cl2
a260,0.5,0.428571,0.769231,0.285714,Cl2
a261,0.785714,0.357143,0.615385,0.571429,Cl2
a262,1,0.785714,0.076923,0,Cl3
a263,0.357143,0.785714,0.307692,0.5,Cl2
a264,0.642857,0.714286,0.769231,0.5,Cl3
a265,0.928571,0.214286,1,0.928571,Cl2
a266,0.928571,0.785714,0.307692,0.857143,Cl3
a267,0.571429,0.428571,0.692308,0.642857,Cl2
a268,0.071429,0.071429,0.384615,0.642857,Cl1
a269,0.5,0.785714,0.538462,0.142857,Cl2
a270,0.642857,1,0.923077,0.071429,Cl3
a271,0.928571,0.5,0.307692,0.928571,Cl3
a272,0,0.142857,0.153846,0.357143,Cl1
a273,0.928571,0.357143,0.923077,0.071429,Cl2
a274,1,0.857143,0.461538,0.642857,Cl3
a275,0.357143,0.428571,0.615385,0.071429,Cl1
a276,0.071429,0.642857,1,0.785714,Cl2
a277,0.5,0.071429,1,0.071429,Cl1
a278,0.071429,0.714286,0.384615,0.928571,Cl2
a279,0.642857,0.857143,0.461538,0.571429,Cl3
a280,0.857143,0.928571,1,0.142857,Cl3
a281,0.071429,0.142857,0.615385,0.357143,Cl1
a282,1,0.214286,0.230769,0.142857,Cl1
a283,0.642857,0.571429,0.230769,0.571429,Cl2
a284,0.214286,0.571429,0.307692,0.428571,Cl1
a285,0.357143,0.142857,0.769231,1,Cl1
a286,0.5,0.285714,0.307692,0,Cl1
a287,0,0.071429,0.153846,0.142857,Cl1
a288,0.357143,0.428571,0.615385,0.071429,Cl1
a289,0.714286,0.642857,0.461538,0.071429,Cl2
a290,0.071429,1,0.538462,0.714286,Cl2
a291,0,0.785714,0.538462,0,Cl1
a292,0.071429,0.642857,0.615385,0,Cl1
a293,0.142857,0.5,0.076923,0.714286,Cl1
a294,0,0.714286,0,0.428571,Cl1
a295,0.785714,0.214286,0.615385,0.428571,Cl2
a296,0.857143,0.142857,0.384615,0.714286,Cl1
a297,0.571429,0.785714,0.615385,1,Cl3
a298,1,0.357143,0.461538,0.428571,Cl2
a299,0.714286,1,0.230769,0.714286,Cl3
a300,0.071429,0.285714,0.230769,0,Cl1
a301,0.214286,0.5,0.307692,0.928571,Cl1
a302,0.714286,0.357143,0.923077,0.857143,Cl2
a303,0.714286,0.714286,0.153846,0.857143,Cl3
a304,0.214286,0,0.615385,0.785714,Cl1
a305,0.071429,0.142857,0.461538,0.642857,Cl1
a306,0.071429,0.571429,0.461538,0.071429,Cl1
a307,0.071429,0.142857,0.769231,0.714286,Cl1
a308,0.214286,0.071429,0.384615,0.428571,Cl1
a309,0.5,0.285714,0.230769,1,Cl1
a310,0.785714,0,0.307692,0.285714,Cl1
a311,0.571429,0.928571,0,0.642857,Cl3
a312,0.071429,0.428571,0.923077,0.142857,Cl1
a313,0.642857,0.428571,0.153846,0.642857,Cl2
a314,0.928571,0,0,0.785714,Cl1
a315,0.142857,0.285714,0.769231,0,Cl1
a316,0.214286,0.357143,0.384615,1,Cl1
a317,1,0.428571,0.923077,0,Cl3
a318,0.785714,0,0.307692,0.5,Cl1
a319,1,1,0.538462,0,Cl3
a320,0.357143,0,0.076923,0.071429,Cl1
a321,0,0.214286,0.307692,0.285714,Cl1
a322,0.571429,1,0.769231,0.5,Cl3
a323,0.928571,0.142857,0.769231,0.642857,Cl2
a324,1,0,0.923077,0.571429,Cl2
a325,0.857143,0.642857,0.615385,0.857143,Cl3
a326,0.5,0.857143,0.615385,0.5,Cl3
a327,0.214286,0.642857,0.461538,1,Cl2
a328,0.928571,0.142857,0.692308,0.928571,Cl2
a329,0.071429,0.642857,0.769231,0.285714,Cl1
a330,0,1,0.692308,1,Cl3
a331,0.785714,0.5,0.615385,0,Cl2
a332,0.571429,0.428571,0.461538,0.5,Cl2
a333,1,0.285714,0.230769,0.571429,Cl2
a334,0.928571,0.928571,0.538462,0.357143,Cl3
a335,0.928571,0.5,0.461538,0.142857,Cl2
a336,0.142857,0,0.076923,0.071429,Cl1
a337,0.357143,0.571429,0.076923,0.142857,Cl1
a338,0.071429,0.142857,0.384615,0.714286,Cl1
a339,0.214286,0.357143,0.923077,0.357143,Cl1
a340,0.857143,0.428571,0.230769,0.928571,Cl2
a341,0.785714,0.5,0.923077,0.285714,Cl2
a342,0.928571,0.214286,0.307692,0.428571,Cl2
a343,0.571429,0.357143,0.923077,1,Cl2
a344,0.571429,0.928571,0.769231,0,Cl3
a345,0.857143,0.214286,0,0.285714,Cl1
a346,0.928571,0.571429,0.307692,0.285714,Cl2
a347,1,0.785714,0.461538,0.857143,Cl3
a348,0.357143,0.285714,0.923077,0.928571,Cl2
a349,0.785714,0.857143,0.307692,0.071429,Cl3
a350,0.571429,0.785714,0.307692,0.285714,Cl2
a351,0,0.642857,0.153846,0.857143,Cl1
a352,0.785714,0.857143,0.307692,0.857143,Cl3
a353,0.642857,0.928571,0,0,Cl2
a354,0.571429,0.357143,0.076923,0.857143,Cl1
a355,0.571429,0.642857,0.769231,0.928571,Cl3
a356,0.142857,0.285714,0.923077,0.428571,Cl1
a357,0.571429,0.142857,0.076923,0.928571,Cl1
a358,0.071429,0.642857,0.076923,1,Cl1
a359,0.857143,0.357143,0.615385,0.714286,Cl2
a360,1,0.785714,0.076923,0.285714,Cl3
a361,0.785714,0.857143,1,0.357143,Cl3
a362,0.5,0.714286,0.384615,0,Cl2
a363,0.642857,0.714286,0,0.285714,Cl2
a364,0.642857,0.928571,0,0.642857,Cl3
a365,0.571429,0.785714,0.615385,0.142857,Cl2
a366,0.857143,0.214286,0.461538,0.428571,Cl2
a367,0.142857,0.785714,0.153846,1,Cl2
a368,0.142857,0.642857,1,0.5,Cl2
a369,0.142857,0.214286,0.384615,0.357143,Cl1
a370,0.142857,0.214286,0.076923,0.642857,Cl1
a371,0.357143,0.285714,0.461538,0.928571,Cl1
a372,1,0.142857,0.076923,0.357143,Cl1
a373,0.571429,0.285714,0.538462,0.857143,Cl2
a374,0.5,0.928571,0.692308,0.642857,Cl3
a375,0.928571,0.642857,0.692308,0.5,Cl3
a376,0.785714,0.285714,0.307692,0.5,Cl2
a377,0,0.5,0.076923,1,Cl1
a378,0.642857,0.5,0.230769,0.928571,Cl2
a379,0.214286,0.071429,0.615385,0.071429,Cl1
a380,0.642857,0.071429,0.538462,0.571429,Cl1
a381,0.071429,0.571429,0.230769,0.857143,Cl1
a382,0,0.571429,0,0.428571,Cl1
a383,0.214286,0.357143,0.153846,0.928571,Cl1
a384,0.214286,0.071429,0.230769,0.357143,Cl1
a385,0.785714,0.714286,0.538462,0.142857,Cl3
a386,0.571429,0.214286,0.615385,0.714286,Cl1
a387,0.857143,0.214286,1,0.714286,Cl2
a388,0.571429,0.285714,0.538462,0,Cl1
a389,0.142857,0.785714,0.538462,0,Cl2
a390,0.928571,0.571429,0.769231,0.714286,Cl3
a391,1,0.857143,1,0.285714,Cl3
a392,0.214286,0,0.461538,0.785714,Cl1
a393,0.785714,0.642857,0.153846,0,Cl2
a394,0.928571,0.5,0.615385,0.928571,Cl3
a395,1,0.214286,1,0.071429,Cl2
a396,1,0.571429,0.230769,0.357143,Cl2
a397,0.857143,0.5,0.307692,0.785714,Cl2
a398,0.142857,0.571429,0.076923,0.642857,Cl1
a399,1,0.571429,0.153846,0.857143,Cl3
a400,0.357143,1,0,0.642857,Cl2
a401,0.785714,0.142857,0.461538,0,Cl1
a402,0.071429,0.5,0.923077,0.428571,Cl1
a403,0.714286,0.071429,0.230769,0.071429,Cl1
a404,0.071429,0.928571,1,0.428571,Cl2
a405,0.714286,0.5,0.307692,0.5,Cl2
a406,1,0.428571,0.461538,0.5,Cl2
a407,0.714286,1,0.384615,0.928571,Cl3
a408,0.928571,0.5,0.153846,0.142857,Cl2
a409,0,0.357143,0.538462,1,Cl1
a410,0.5,0,0.230769,0,Cl1
a411,0.642857,0.071429,0.692308,1,Cl1
a412,0.714286,0.642857,0.230769,0.571429,Cl2
a413,0.928571,0.857143,0.923077,0.785714,Cl3
a414,0.928571,0,0.923077,0.428571,Cl2
a415,1,0.928571,0.769231,0.285714,Cl3
a416,0.857143,0.5,0.615385,0.428571,Cl2
a417,0.357143,1,0.615385,0.714286,Cl3
a418,0.714286,0.428571,0,0.928571,Cl2
a419,0.857143,0.357143,0.538462,0.857143,Cl2
a420,0.857143,0.785714,0.307692,0.357143,Cl3
a421,0,0.928571,0.615385,0.5,Cl2
a422,0.857143,1,0.076923,0.285714,Cl3
a423,0.142857,0.714286,0.923077,0.928571,Cl2
a424,0,0.5,0.230769,0.357143,Cl1
a425,1,0.642857,0.076923,0.571429,Cl3
a426,0,0.857143,0.153846,0,Cl1
a427,0,0.642857,0.307692,0.785714,Cl1
a428,0.357143,0.142857,0.384615,0.571429,Cl1
a429,0,0.071429,0.230769,0.785714,Cl1
a430,0.714286,0.642857,0.538462,0.928571,Cl3
a431,0.5,0.857143,0.153846,1,Cl3
a432,0.5,0.428571,0.692308,1,Cl2
a433,0,0.142857,0.461538,0,Cl1
a434,1,1,0.230769,0.357143,Cl3
a435,0.214286,0.714286,0.076923,0.428571,Cl1
a436,0.857143,0.714286,0.923077,1,Cl3
a437,0.357143,0.428571,0.538462,0.928571,Cl2
a438,0.857143,0,0.692308,0.571429,Cl1
a439,0.928571,0.214286,0.615385,0.357143,Cl2
a440,0.357143,0.285714,0.538462,0.071429,Cl1
a441,0.5,0.214286,0.076923,0,Cl1
a442,0.857143,0.928571,0.538462,0.428571,Cl3
a443,0.642857,0.785714,0.923077,0.5,Cl3
a444,0.357143,0.357143,1,0.785714,Cl2
a445,0.785714,0.785714,0.461538,0.5,Cl3
a446,0.357143,0.214286,0.230769,0.5,Cl1
a447,0.357143,0.428571,0.461538,0.714286,Cl1
a448,0.571429,0.428571,1,0.857143,Cl2
a449,0.714286,0.285714,0.538462,0.5,Cl2
a450,0.571429,0.071429,0.615385,0.785714,Cl1
a451,0.357143,0,0.230769,0.714286,Cl1
a452,0.357143,0.214286,0.307692,0.642857,Cl1
a453,0.142857,0,0.076923,0.285714,Cl1
a454,1,0.428571,0.769231,0.428571,Cl3
a455,0,0.714286,0.538462,0.857143,Cl2
a456,0.071429,0.928571,1,0.642857,Cl3
a457,0.928571,0.142857,0.923077,0.571429,Cl2
a458,0.928571,0.857143,0.307692,0.142857,Cl3
a459,0.571429,0.428571,0.384615,0.571429,Cl2
a460,0.928571,0.857143,0.692308,0.071429,Cl3
a461,0.071429,0.928571,0.615385,0.928571,Cl2
a462,0.857143,0.571429,0.307692,0.857143,Cl3
a463,0.857143,0.285714,0.153846,0.142857,Cl1
a464,0,0,0.538462,0.857143,Cl1
a465,0.571429,0.857143,0.615385,0.785714,Cl3
a466,0.928571,0.071429,0.230769,1,Cl1
a467,1,0.571429,0,0.5,Cl2
a468,0.642857,1,0.615385,1,Cl3
a469,0.357143,0.428571,0.615385,0.285714,Cl1
a470,0.357143,0.285714,0.769231,0.428571,Cl1
a471,0.642857,0.642857,0.461538,0.571429,Cl2
a472,0.785714,0.571429,0.384615,0.857143,Cl3
a473,0.214286,0.214286,0.384615,0.142857,Cl1
a474,0.785714,0.857143,1,0.357143,Cl3
a475,0.357143,0.642857,0.538462,0.642857,Cl2
a476,0.142857,0.428571,0.538462,0.785714,Cl1
a477,0.714286,0.785714,0.230769,0.714286,Cl3
a478,1,1,0.538462,0.357143,Cl3
a479,0.357143,0.785714,0.076923,0.142857,Cl2
a480,0.642857,0.428571,0.076923,0.285714,Cl1
a481,0.714286,0.285714,0.230769,0.571429,Cl1
a482,0.142857,0.071429,0.461538,0.642857,Cl1
a483,0.857143,0.214286,0.153846,0.571429,Cl1
a484,0.071429,0.714286,0.076923,0.714286,Cl1
a485,0.142857,0.571429,0.076923,0.428571,Cl1
a486,0.571429,0.785714,0,0.928571,Cl2
a487,0.857143,0.142857,0.230769,0,Cl1
a488,0,0.214286,0,0.714286,Cl1
a489,0.071429,0.285714,0.461538,0.857143,Cl1
a490,0.071429,0,0.076923,0.071429,Cl1
a491,0.928571,0.928571,0.615385,1,Cl3
a492,0.5,0.428571,0.923077,0.428571,Cl2
a493,0,0.642857,0.153846,0,Cl1
a494,0.785714,0.785714,0.692308,0.785714,Cl3
a495,0.928571,0.071429,0.153846,0.357143,Cl1
a496,0.714286,0.142857,0.615385,0.071429,Cl1
a497,0.642857,0.714286,0.923077,0.5,Cl3
a498,0.785714,0.5,0.538462,0.785714,Cl2
a499,0.571429,0.714286,0.461538,0.5,Cl2
a500,0.642857,0.571429,0.615385,0.357143,Cl2
a501,0.857143,0.642857,0.923077,0.571429,Cl3
a502,0.857143,0.428571,0.384615,0.428571,Cl2
a503,0.142857,0.571429,0.384615,0.142857,Cl1
a504,0.642857,0.214286,0.615385,0.071429,Cl1
a505,0.642857,0.285714,0,0.142857,Cl1
a506,0.214286,0.214286,0.307692,0.071429,Cl1
a507,0.071429,0,0.461538,0.642857,Cl1
a508,0.071429,0.071429,0.076923,0.928571,Cl1
a509,0.785714,0.428571,0.307692,0.571429,Cl2
a510,0.785714,0,0.076923,0.071429,Cl1
a511,0.714286,1,0,0.357143,Cl3
a512,0.928571,0.5,0.307692,0.142857,Cl2
a513,0.571429,0.285714,0.076923,0.357143,Cl1
a514,0.857143,0.857143,0.923077,0.428571,Cl3
a515,0.357143,0.928571,0.538462,0,Cl2
a516,0.857143,0.428571,0.384615,0.642857,Cl2
a517,1,0.357143,0.692308,0.642857,Cl2
a518,0.5,0.928571,0.461538,0.785714,Cl3
a519,0.071429,0,0.076923,1,Cl1
a520,0.142857,0.214286,1,0.285714,Cl1
a521,1,0.571429,0.307692,0,Cl2
a522,0.857143,0.785714,0.769231,0.357143,Cl3
a523,0.857143,0.285714,0.307692,0.5,Cl2
a524,0.785714,0.785714,0,0.642857,Cl3
a525,0.214286,0,1,0.714286,Cl1
a526,0.785714,0.642857,0.384615,0.928571,Cl3
a527,0.642857,0.357143,0.692308,0.642857,Cl2
a528,0.571429,0.357143,0.076923,0.714286,Cl1
a529,0.857143,0.071429,0.153846,1,Cl1
a530,0.571429,0.357143,0.769231,0.5,Cl2
a531,0.714286,0.214286,0,0.785714,Cl1
a532,0.357143,0.071429,1,0.857143,Cl1
