Alternative,g1,g2,g3,g4,g5,g6,Class
a56,0.123399,0.013652,0.249249,0.003906,1,0.073864,Cl3
a57,0.026298,0.123246,0.01464,0.0625,0.5,0.045455,Cl1
a58,0.123399,0.013652,0.124124,0.007813,0.461538,0,Cl2
a59,1,0.029309,0.249249,0.4375,0.307692,0.068182,Cl4
a60,0.140256,0.029309,0.326983,0.003906,0.096154,0.068182,Cl3
a61,0.037087,0.014404,0.097535,0.4375,0.057692,0.079545,Cl2
a62,0.136885,0.080035,1,0.5,0.5,0.363636,Cl4
a63,0.211059,0.123246,0.069382,0.09375,0.019231,0.136364,Cl2
a64,0.026972,0.039016,0.124124,0.09375,0.115385,0.017045,Cl1
a65,0.096426,0.013652,0.069382,0.375,0.461538,0.039773,Cl3
a66,0.006069,1,0.01464,0.625,0,0.159091,Cl4
a67,0.595415,0.039016,0.097535,0.015625,0.038462,0.295455,Cl3
a68,0.062711,0.001002,0.02246,0.007813,0.461538,0.363636,Cl1
a69,0.037087,0,0.01464,0,0.153846,0.590909,Cl1
a70,0.096426,0.039016,0.097535,0.0625,0.307692,0.176136,Cl2
a71,0.050573,0.044965,0.069382,0.25,0.038462,0.073864,Cl1
a72,0.022252,0.004008,0.053741,0.5,0.038462,0.090909,Cl2
a73,0.084963,0.002004,0.02246,0.035156,0.057692,0.136364,Cl1
a74,0.028321,0.060621,0.039977,0.375,0.019231,1,Cl3
a75,0.022252,0.002004,0.011011,0.09375,0.230769,0.363636,Cl1
a76,0.136885,0.039016,0.499499,0.015625,0.615385,0.159091,Cl4
a77,0.005394,0.0062,1,0.0625,0.153846,0.363636,Cl4
a78,0.066082,0.248497,0.061562,0.117188,0.076923,0.039773,Cl1
a79,0.037087,0.0062,0.02246,0.117188,0.019231,0.727273,Cl2
a80,0.07822,0.014404,0.011011,0.035156,0.019231,0.590909,Cl2
a81,1,0.154559,0.007007,0,0.230769,0.272727,Cl4
a82,0.028321,0.013652,0.095971,0.003906,0.019231,0.073864,Cl1
a83,0.026298,0,0.499499,0,0.461538,0.590909,Cl4
a84,0.028995,0.014028,0.011011,0.511719,0.615385,0.181818,Cl3
a85,0,0.014028,0.077202,0.4375,0.615385,1,Cl4
a86,0.008092,1,0.186687,0.253906,0.5,0.181818,Cl4
a87,0.062711,0.039016,0.02246,0.003906,0.019231,0.272727,Cl1
a88,0.026972,0.060621,0,0.015625,0.057692,0.159091,Cl1
a89,0.07822,0.060621,0.186687,0.09375,0.115385,0.107955,Cl2
a90,0.026298,0.095065,0.02246,0.09375,0.230769,0.272727,Cl1
a91,0.123399,0.091934,0.045921,0.253906,0.096154,0.113636,Cl2
a92,0.08294,0.070015,0.499499,0.253906,0.461538,0.727273,Cl4
a93,0.125421,0.123246,0.124124,0.003906,0.134615,0.073864,Cl2
a94,0.113284,0.029309,0.374374,0.003906,0.153846,0.113636,Cl3
a95,0.006069,0.162074,0.186687,0.023438,0.057692,0.079545,Cl2
a96,0.062711,0.006012,0.011011,0.625,0.615385,0.113636,Cl3
a97,0.031693,0.498998,0.092843,0.1875,0.153846,0.079545,Cl2
a98,0.106541,0.014404,0.097535,0.003906,0.134615,0.005682,Cl1
a99,1,0.039016,0.092843,0.375,0.230769,0.215909,Cl4
a100,0.035738,0.002004,0.097535,0.0625,0.019231,0.022727,Cl1
a101,0.066082,0.091934,0.053741,0.625,0,0.017045,Cl3
a102,0.730276,0.095065,0.092843,0.511719,0.096154,0.136364,Cl4
a103,0.054619,0.091934,0.045921,0,0.134615,0.113636,Cl1
a104,0.03911,0.154559,0,0.554688,0.5,0.636364,Cl4
a105,0.049225,0.001002,1,1,0.461538,0.005682,Cl4
a106,0.089683,0.001002,0.095971,0.253906,0.019231,0.272727,Cl2
a107,0.08294,0.095065,0.039977,0.015625,0.115385,0.005682,Cl1
a108,0.312205,0,1,0.4375,0.057692,0.107955,Cl4
a109,0.064059,1,0.097535,0.09375,0.615385,0.068182,Cl4
a110,0.224545,0.080035,0.053741,0.007813,0.115385,0.113636,Cl1
a111,0.096426,0.070015,0.097535,0.511719,0.096154,0.147727,Cl3
a112,0.059339,0.014028,0.03028,0.046875,0.134615,0.073864,Cl1
a113,1,0.002004,0.092843,0.554688,0.5,0.147727,Cl4
a114,0.190829,0.044965,0.039977,0.1875,0.307692,0.107955,Cl2
a115,0.062711,1,0.03028,0.0625,0.230769,0.068182,Cl3
a116,0.101146,0.004008,0.097535,0.375,0.134615,0.090909,Cl2
a117,0.096426,0.029309,0.249249,0.1875,0.038462,0.045455,Cl2
a118,0.101146,0.004008,0.039977,0.625,0.019231,0.085227,Cl3
a119,0.037087,0.039016,0.499499,0.03125,0.461538,0.636364,Cl4
a120,0.045179,0.014028,0.092843,0.03125,1,0.085227,Cl2
a121,0.037087,0.0062,0.077202,0.015625,0.461538,0.017045,Cl1
a122,0.020904,0.002004,0.499499,0.125,0.230769,0.590909,Cl4
a123,0.140256,0.498998,0.061562,0.117188,0,0.085227,Cl2
a124,0.312205,0.044965,0.01464,0.375,0.038462,0.068182,Cl3
a125,0.101146,0.091934,0.095971,0.625,0.5,0.017045,Cl3
a126,0.150371,0.162074,0.097535,0.03125,0.038462,0.176136,Cl2
a127,0.150371,0.013652,0.077202,0.1875,0.134615,0.147727,Cl2
a128,0.054619,0.044965,0.097535,0.035156,0.230769,0.136364,Cl1
a129,0.101146,0.022044,0.061562,0.4375,0.307692,0.363636,Cl3
a130,0.109912,1,0.186687,0,0.307692,0.727273,Cl4
a131,0.004046,0.248497,0,0.511719,0.019231,0.107955,Cl2
a132,0.527984,0.022044,0.162913,0.117188,0.115385,0.272727,Cl3
a133,0.136885,0.0062,0.045921,0.253906,0.230769,0.215909,Cl2
a134,0.101146,0.060621,0.061562,0.511719,0.5,0.181818,Cl3
a135,0.049225,0.013652,0.069382,0.511719,0.461538,1,Cl4
a136,0.064059,0.080035,0.092843,0.375,0.153846,0.727273,Cl3
a137,0.035738,0.0062,0.186687,0.03125,0.615385,0.085227,Cl2
a138,0.004046,1,0.01464,0.511719,0.057692,0.176136,Cl4
a139,0.07822,0.070015,0.011011,0.007813,0.019231,0.272727,Cl1
a140,0,0.039016,0.124124,0.5,0.115385,0.085227,Cl3
a141,0.150371,0.022044,0.374374,0.0625,0.5,0.073864,Cl3
a142,0.006069,0.004008,0.077202,0.117188,0.134615,0.107955,Cl1
a143,0.045179,0.013652,0.011011,0.003906,0.019231,0.005682,Cl1
a144,0.012138,0.006012,0.374374,0.007813,0.019231,0.011364,Cl2
a145,0.023601,0.014404,0.053741,0.511719,0,0.090909,Cl2
a146,0.527984,0.039016,0.045921,0.035156,0.019231,0.215909,Cl3
a147,0.312205,0.070015,0.097535,0.125,0.307692,0.272727,Cl3
a148,0.045179,0.002004,0.077202,0.003906,0.115385,0.363636,Cl1
a149,0.07822,0.0062,0,0.511719,0.461538,0.636364,Cl3
a150,0.125421,0.162074,0.069382,0.09375,0.307692,0.306818,Cl2
a151,0,0.060621,0.374374,0,0.5,0.590909,Cl4
a152,0.006069,0.060621,0.124124,0.1875,0.615385,0.159091,Cl2
a153,0.023601,0.006012,0.007007,0.554688,0.153846,0.306818,Cl3
a154,0.059339,0.070015,0.077202,1,0.038462,0.045455,Cl4
a155,0.062711,0.154559,0.077202,0.03125,0.153846,0.181818,Cl1
a156,0.140256,0.080035,0.007007,0.554688,0.461538,0.045455,Cl3
a157,0.045179,0.091934,0.011011,0.023438,0.115385,0.028409,Cl1
a158,0.25826,0.248497,1,0.015625,0.615385,0.039773,Cl4
a159,0.460553,0.022044,0.092843,0.5,0.057692,0.073864,Cl4
a160,0.101146,0.002004,0.039977,0.015625,0.134615,0.085227,Cl1
a161,0.004046,0.022044,0.092843,0.03125,0.038462,0.085227,Cl1
a162,0.106541,0.004008,0.374374,0.511719,0,0.363636,Cl4
a163,0.534727,0.004008,0.499499,0.117188,0.230769,0.295455,Cl4
a164,0.157114,0.013652,0.077202,0.375,0.461538,0.068182,Cl3
a165,0.01416,0.014028,0.069382,0.0625,1,0.363636,Cl2
a166,0.055968,0.01002,0.069382,0.003906,0.615385,0.306818,Cl2
a167,0.527984,0.022044,0.045921,0,0,0.011364,Cl2
a168,0.096426,0.006012,0.374374,0.554688,0.019231,0.085227,Cl4
a169,0.005394,1,0.02246,0.125,0.615385,1,Cl4
a170,0,0.070015,0.011011,0.03125,0.153846,0.034091,Cl1
a171,0.072825,0.070015,0.01464,0.003906,0.307692,0.005682,Cl1
a172,0.006069,0.006012,0.499499,0.375,1,0.295455,Cl4
a173,0.023601,0.044965,0.186687,0.253906,0.057692,0.113636,Cl2
a174,0.190829,0.154559,0.162913,0.035156,1,0.590909,Cl4
a175,0.062711,0.091934,0.039977,0.125,0.038462,0.181818,Cl1
a176,0.595415,0.248497,0.007007,0.511719,0.115385,0.056818,Cl4
a177,0.224545,0.022044,0.061562,1,0.115385,0.011364,Cl4
a178,0.064059,0.0062,0.061562,0.003906,0.153846,0.107955,Cl1
a179,0.059339,0,0.374374,0.125,0.307692,0.215909,Cl3
a180,0.028995,0.498998,0.097535,0.007813,1,0.073864,Cl3
a181,0.064059,0.0062,0.039977,0.125,0.076923,0.590909,Cl2
a182,0.028995,0.006012,0.011011,0.003906,0.615385,0.034091,Cl1
a183,0.072151,0.013652,0.061562,0.125,0.134615,0.272727,Cl2
a184,0.140256,0.006012,0.326983,0.511719,0.153846,0.045455,Cl4
a185,0.393122,0.080035,0.124124,0.015625,0.153846,0.039773,Cl3
a186,0.005394,0.029309,0.097535,0.554688,0.461538,0.136364,Cl3
a187,0,0.248497,0.326983,0.375,0,0.181818,Cl3
a188,0.022252,0.123246,0.124124,0,0.019231,0.295455,Cl1
a189,0.101146,0.002004,0.162913,0.03125,0.461538,0.056818,Cl2
a190,0.066082,0,0.01464,0.1875,0.153846,0.068182,Cl1
a191,0.106541,0.029309,0.007007,0.09375,0.307692,0.727273,Cl3
a192,0.008092,0.001002,0.045921,0.554688,0.461538,0.215909,Cl3
a193,0.037087,0.002004,0.095971,0.1875,0.076923,0.272727,Cl2
a194,0.006069,0.0062,0.499499,0.253906,1,0.079545,Cl4
a195,0.008092,0.070015,0.186687,0.03125,0.076923,0.159091,Cl2
a196,0.050573,0,0.326983,0.0625,0.038462,0.056818,Cl2
a197,0.035738,0.014404,0.374374,0.25,0.461538,0.039773,Cl3
a198,0.123399,0.123246,0.162913,0.554688,0.057692,0.039773,Cl3
a199,0.022252,0.070015,0.095971,1,0.5,0,Cl4
a200,0.026298,0.013652,0.374374,1,0.096154,0.159091,Cl4
a201,0.089683,0.0062,0.039977,0.5,0.230769,0.090909,Cl3
a202,0.224545,0.162074,0.077202,0.125,0.5,0.159091,Cl3
a203,0.25826,0.013652,0.077202,0.25,0.615385,0.107955,Cl3
a204,0.125421,0.001002,0.045921,0.046875,0.057692,0.159091,Cl1
a205,0.393122,0.123246,0.374374,0.03125,0.153846,0.590909,Cl4
a206,0.072825,0.154559,0.097535,0.117188,0.5,0.034091,Cl2
a207,0.066757,1,0.249249,0.007813,0.096154,0.028409,Cl3
a208,0.020904,0.014404,0.162913,0.0625,0,0.636364,Cl2
a209,0.066757,0.0062,0.069382,0.035156,1,0.073864,Cl2
