Alternative,g1,g2,g3,g4,Class
a367,0.75,0.25,0.25,0,Cl2
a368,0.5,0.75,0.75,0.5,Cl3
a369,0.25,1,0.5,0.25,Cl3
a370,0,1,0.5,0.25,Cl3
a371,1,0.25,0.25,0.75,Cl3
a372,0,0.75,0.75,0.75,Cl3
a373,0,0.5,0,0,Cl1
a374,0.75,0.5,0.25,1,Cl3
a375,0.75,1,1,0.75,Cl4
a376,0.25,1,1,0.75,Cl4
a377,0,0.5,0.75,0.75,Cl2
a378,1,0.75,0.5,0.25,Cl4
a379,1,0.5,0.25,1,Cl4
a380,0.75,0.25,0.5,0.25,Cl2
a381,0.25,0,0,1,Cl2
a382,0.25,0.5,0.25,0.5,Cl2
a383,0.5,1,1,1,Cl4
a384,0.25,0.75,0.5,1,Cl3
a385,0.25,0.5,0.5,0.25,Cl2
a386,0,0.75,0.25,0,Cl2
a387,0.75,0.25,0,0.75,Cl3
a388,1,0,0.5,1,Cl3
a389,0.5,0,0.25,0.75,Cl2
a390,1,1,1,0,Cl4
a391,1,0.75,0.75,1,Cl4
a392,0.75,1,0.25,0.5,Cl4
a393,0,0,0,0.75,Cl1
a394,0,1,1,0.75,Cl3
a395,0.5,0.75,1,0,Cl3
a396,1,0,0.75,1,Cl3
a397,0.5,1,0.25,0,Cl3
a398,0.5,0,0.5,0.75,Cl2
a399,0.25,1,0.5,0.25,Cl3
a400,0,0,1,0.25,Cl1
a401,0,0.25,0.5,1,Cl2
a402,0.25,0.5,0.5,1,Cl3
a403,0.75,0.75,0,0.5,Cl3
a404,0.5,0.75,0.25,0.25,Cl3
a405,0.25,0.5,0.5,0.25,Cl2
a406,0,0.5,0.75,1,Cl2
a407,1,0.75,1,0.5,Cl4
a408,1,0,0.75,0.75,Cl3
a409,0.5,0,0.75,1,Cl2
a410,0.25,0.75,0,1,Cl3
a411,0.5,0,0,0.25,Cl1
a412,0.5,0,0.75,0.25,Cl1
a413,0.75,0,0,0.25,Cl2
a414,0.5,0.5,0.25,0.75,Cl3
a415,0.5,0.5,1,0.5,Cl3
a416,0.5,0.25,1,0.25,Cl2
a417,0,0.25,1,0,Cl1
a418,0.5,0.75,0.25,0,Cl3
a419,1,1,0.25,0.75,Cl4
a420,0.5,0.75,0.75,0.5,Cl3
a421,0.5,0.75,0.75,0.5,Cl3
a422,0.75,1,1,0.5,Cl4
a423,1,1,1,0.75,Cl4
a424,0,1,0,1,Cl3
a425,0.25,0.75,0.25,1,Cl3
a426,1,0.5,1,1,Cl4
a427,0.75,0.75,0.75,0.25,Cl3
a428,0,0.5,1,0,Cl2
a429,0.25,0,0.25,0.75,Cl1
a430,1,0.25,0,0.75,Cl3
a431,1,0.75,0,1,Cl4
a432,0.75,0.5,1,0.75,Cl3
a433,0.5,1,0.25,0,Cl3
a434,0.25,1,0.75,0.75,Cl4
a435,0.75,0.25,0,0.75,Cl3
a436,0,0.75,1,0.75,Cl3
a437,0.5,0.5,0.25,0.5,Cl3
a438,1,1,0.75,0.25,Cl4
a439,0,0.25,0,1,Cl2
a440,0.25,0.75,1,1,Cl3
a441,0.25,0.5,0.25,0.5,Cl2
a442,1,0.5,0.25,0.5,Cl3
a443,0,0.5,0.5,0.25,Cl2
a444,1,0.75,0.25,0,Cl4
a445,0,0.5,0.75,1,Cl3
a446,1,0.75,0.75,0.5,Cl4
a447,0.25,0.5,0.75,1,Cl3
a448,0,0.5,0.75,0.25,Cl2
a449,0.25,0,1,0.5,Cl1
a450,0,0,0,1,Cl1
a451,0.75,0.75,0.5,0.25,Cl3
a452,0.75,0.25,0,0.5,Cl3
a453,0,0.75,0,1,Cl3
a454,0.25,0.25,1,0,Cl1
a455,0.25,0,0.25,0.25,Cl1
a456,1,0.5,0.75,0.75,Cl4
a457,0.25,1,1,0.5,Cl3
a458,0.75,1,0.5,1,Cl4
a459,1,0,0.5,0.25,Cl2
a460,0.5,0,0.75,0.25,Cl1
a461,1,0.5,1,1,Cl4
a462,0,1,0.25,0,Cl3
a463,0,0.5,0,0.75,Cl2
a464,1,0.75,0.75,0.5,Cl4
a465,0.25,0.5,0.75,0.5,Cl2
a466,0.75,0.75,0,0.75,Cl4
a467,0.25,1,0.75,0.25,Cl3
a468,0,0.25,1,0.25,Cl1
a469,1,0,0.25,0,Cl2
a470,0.75,0.25,0.25,0.25,Cl2
a471,0,0.5,0,0.5,Cl2
a472,0.5,0,0.25,0,Cl1
a473,0,0,1,0.5,Cl1
a474,0.25,0.25,1,0.75,Cl2
a475,0.25,0.5,0.25,0.75,Cl3
a476,0.5,0.25,0.75,0,Cl2
a477,0.5,0,0.5,0.75,Cl2
a478,0.25,0.75,1,1,Cl3
a479,0.25,0,0,0.25,Cl1
a480,0.75,0.75,0.75,0.5,Cl4
a481,0.5,0.5,0.25,0.5,Cl3
a482,0,0.75,0.5,0.5,Cl3
a483,0,0.75,0.75,1,Cl3
a484,0.25,0,1,1,Cl2
a485,1,0.75,0.5,1,Cl4
a486,0.75,0.75,0.25,0.25,Cl3
a487,0.25,1,0.5,0.75,Cl4
a488,0.25,1,0,0.5,Cl3
a489,0.75,0.75,0.25,0.5,Cl4
a490,1,1,0.25,0,Cl4
a491,0.5,0.25,0.25,0.25,Cl2
a492,0.25,0,0,0,Cl1
a493,1,0.75,1,0.5,Cl4
a494,0.25,1,1,0.25,Cl3
a495,0.25,0.5,0.25,1,Cl3
a496,0.75,0,0.5,0.25,Cl2
a497,0.25,1,1,0.25,Cl3
a498,0,0.5,0.75,0.25,Cl2
a499,1,0.25,0.5,0.25,Cl3
a500,0.75,1,0.75,1,Cl4
a501,1,0,0.25,0.25,Cl2
a502,1,0,0,0.5,Cl2
a503,1,1,1,0.75,Cl4
a504,0.75,1,0,1,Cl4
a505,0.5,0.25,1,1,Cl3
a506,0.75,0.25,0.75,0.75,Cl3
a507,0.5,0.5,1,0,Cl2
a508,1,0.25,1,0.25,Cl3
a509,1,0.25,0,0,Cl3
a510,0.75,0.25,0.25,0,Cl2
a511,0,0.5,0.5,0.25,Cl2
a512,0.75,0.5,0.25,0.25,Cl3
a513,0.75,0.75,0.75,0,Cl3
a514,0.75,0.25,0.75,0,Cl2
a515,0.5,1,0.5,0,Cl3
a516,0.5,0.25,0.5,0.25,Cl2
a517,0,0.5,0,0,Cl1
a518,0.5,0.75,1,0,Cl3
a519,0.5,0.5,1,0.75,Cl3
a520,0.25,0.5,0.75,0.75,Cl3
a521,1,0.75,0.25,0.75,Cl4
a522,0.25,0.75,0,1,Cl3
a523,0,0.25,1,0,Cl1
a524,0.25,0.75,0.5,0.5,Cl3
a525,0,1,0.5,1,Cl3
a526,1,0.5,0.75,0.75,Cl4
a527,0.25,0.75,0.5,0.25,Cl3
a528,0.75,1,0,1,Cl4
a529,0.5,0.25,0,0,Cl2
a530,0.75,0.25,0,1,Cl3
a531,0.75,0,0.5,0.25,Cl2
a532,0.5,1,0.5,0.75,Cl4
a533,0.25,0,0.75,1,Cl2
a534,0,1,0.25,0.5,Cl3
a535,0.5,1,0,0.75,Cl4
a536,1,0.5,0.25,0,Cl3
a537,1,0.5,0.25,1,Cl4
a538,0,0.75,0,0.25,Cl2
a539,0.5,0.5,0.25,0.5,Cl3
a540,1,0,0,1,Cl3
a541,0.75,0.25,0,0,Cl2
a542,1,0,0.5,0,Cl2
a543,0.75,0.25,0.25,0.5,Cl3
a544,0.25,0.25,0.5,0.75,Cl2
a545,0.25,0.75,1,1,Cl3
a546,0,0,0.25,0.75,Cl1
a547,0.75,0.25,0,0.5,Cl3
a548,0.25,0.25,0.5,0,Cl1
a549,1,0.25,0,1,Cl3
a550,0.75,0.5,1,0.5,Cl3
a551,0.5,0.75,1,1,Cl4
a552,0,0,0,0.25,Cl1
a553,1,0,0.75,0,Cl2
a554,0.5,0,0.25,1,Cl2
a555,0.25,0.75,0.5,0.25,Cl3
a556,0,0,0.75,0.25,Cl1
a557,0.75,0,0.25,1,Cl3
a558,0.25,1,0,0.5,Cl3
a559,1,0.5,1,1,Cl4
a560,0,0.5,0.25,1,Cl2
a561,1,0.75,0,0,Cl3
a562,0.75,0,0.75,0.5,Cl2
a563,0.25,0.75,0.75,1,Cl3
a564,0.5,0.5,0.5,0.25,Cl3
a565,0.25,0,0.75,0.5,Cl1
a566,1,0,0,0.75,Cl3
a567,1,0.5,0.75,0.75,Cl4
a568,0.5,0.25,1,1,Cl3
a569,0,0.5,1,0.75,Cl2
a570,0.5,0,0.5,1,Cl2
a571,1,0.25,0.5,0.5,Cl3
a572,0.5,0.5,1,0.75,Cl3
a573,0.5,0,0,0.75,Cl2
a574,0.5,0.25,1,0.25,Cl2
a575,0.5,0.5,0.25,0.25,Cl3
a576,0.5,0,0.75,0.25,Cl2
a577,0.5,0.5,0.5,0.75,Cl3
a578,0.5,1,0,0.5,Cl4
a579,0.5,1,0,0.75,Cl4
a580,0,0,0.5,1,Cl1
a581,0.75,1,0,0,Cl4
a582,0.25,0,0,0,Cl1
a583,1,0,0.25,1,Cl3
a584,1,1,1,0.25,Cl4
a585,1,0.25,0.5,0.25,Cl3
a586,0.75,0.25,0.75,0.5,Cl3
a587,1,0,0.75,0.75,Cl3
a588,0.75,0.25,0.5,0.75,Cl3
a589,1,0,0.25,1,Cl3
a590,0.75,1,0,0.75,Cl4
a591,0.5,1,0.75,0.25,Cl4
a592,0.25,0.75,0.75,0.25,Cl3
a593,0.75,1,1,0,Cl4
a594,1,0,0.25,0.5,Cl3
a595,1,0.75,1,0,Cl4
a596,0.25,0.75,0.25,0.75,Cl3
a597,0.25,0.5,0.5,0.5,Cl2
a598,0,1,0.25,0,Cl3
a599,1,0,1,1,Cl3
a600,0.25,1,0.5,0.25,Cl3
a601,0.5,1,1,0,Cl3
a602,1,0,0.25,0.75,Cl3
a603,0.75,0.5,1,0,Cl3
a604,1,0.25,0,0,Cl3
a605,1,0,1,0.25,Cl3
a606,1,0.5,0,0.5,Cl3
a607,1,0.25,0.25,0,Cl3
a608,0.25,0.25,1,0.25,Cl2
a609,0,1,0.5,0,Cl3
a610,0.5,0,1,0,Cl1
a611,0.75,0.25,1,0.75,Cl3
a612,0.25,0.5,0.25,0,Cl2
a613,0.25,0.25,0.75,0.75,Cl2
a614,0,0.75,1,1,Cl3
a615,1,0.5,0,0,Cl3
a616,0.75,0.5,0,1,Cl3
a617,0,0.75,0.75,0.25,Cl2
a618,0.5,0.75,0.75,1,Cl4
a619,0.5,1,1,1,Cl4
a620,1,0.25,1,0,Cl3
a621,1,0.5,0.5,0,Cl3
a622,1,0.25,1,0,Cl3
a623,0.5,1,0,1,Cl4
a624,0.5,0,0,0.5,Cl2
a625,0.25,0.25,0.75,0.75,Cl2
a626,0.75,0.75,1,0.5,Cl4
a627,0,0.75,1,1,Cl3
a628,0.75,1,0.25,1,Cl4
a629,0.75,0,0.5,0.5,Cl2
a630,0.25,0.5,0,0.25,Cl2
a631,0.25,0,0.75,0,Cl1
a632,0.5,1,0.25,0,Cl3
a633,0.5,0.75,0.75,0,Cl3
a634,0.75,0.25,0,1,Cl3
a635,0,0.5,0.5,0.75,Cl2
a636,0.75,0.5,0.25,1,Cl3
a637,0,0.75,0.75,1,Cl3
a638,0.75,0.75,0,0.75,Cl4
a639,0.5,0,1,1,Cl2
a640,1,0.25,0,0.25,Cl3
a641,0.5,0,0.25,0.75,Cl2
a642,0.75,0.25,0.75,1,Cl3
a643,0.5,0.5,1,1,Cl3
a644,0.5,1,0.25,0.75,Cl4
a645,0.25,0.5,0.75,0,Cl2
a646,0.25,0,0.75,1,Cl2
a647,0,1,0,1,Cl3
a648,0.5,0,0.75,0.75,Cl2
a649,1,0.75,0.75,0.25,Cl4
a650,0,0.5,0,0.75,Cl2
a651,1,0.25,0.25,0.25,Cl3
a652,0.5,0.25,0.75,0.5,Cl2
a653,0.25,0.25,0.75,1,Cl2
a654,0.25,0.25,0,0.5,Cl2
a655,0.5,0.25,0,1,Cl3
a656,0,1,1,0,Cl3
a657,0.75,1,0.75,1,Cl4
a658,0,0,0.75,1,Cl1
a659,0.25,0.25,0.75,0.25,Cl2
a660,0.25,0,1,1,Cl2
a661,0,0.75,0.5,0,Cl2
a662,1,1,0,0.25,Cl4
a663,0.25,0,0.5,1,Cl2
a664,0.75,0.75,0.25,0.75,Cl4
a665,0.5,0.5,0.5,0.5,Cl3
a666,0.25,0.25,0.25,0.5,Cl2
a667,0,0.5,0,0.75,Cl2
a668,0,0.25,0.5,0.25,Cl1
a669,1,0.25,0.75,0.25,Cl3
a670,0.75,0,0.25,0.25,Cl2
a671,0.5,0,0.5,0.25,Cl1
