Alternative,g1,g2,g3,g4,g5,g6,g7,Class
a41,1,0.26615,0.152174,0.666005,0.565476,0.083333,1,Cl3
a42,0.2,0.423773,0.125,0.150553,1,0,0,Cl2
a43,0,0.103359,0.456522,0.613553,0.39881,0.666667,0,Cl1
a44,0,0.224806,0.380435,0.308761,0.440476,0.833333,0.5,Cl1
a45,0,0.077519,0.972826,0.272753,0.291667,0.5,1,Cl2
a46,0.2,0.118863,0.206522,0.857669,0.35119,0.666667,0,Cl1
a47,0.2,0.095607,0.097826,0.437199,0.839286,0.416667,1,Cl3
a48,0,0.173127,0.456522,0.105472,0.321429,0.333333,0.5,Cl1
a49,1,0.258398,0.972826,0.474908,0.190476,0.416667,1,Cl3
a50,1,0.124031,0.467391,0.163595,0.595238,0.416667,0.5,Cl3
a51,1,0.043928,0.36413,0.140913,0.5,0.583333,1,Cl3
a52,0,0.03876,0.467391,0.191948,0.559524,0.25,0,Cl1
a53,1,0.96124,0.255435,0.739155,0.208333,0.166667,1,Cl3
a54,0.2,0.20155,0.157609,0.148001,0.690476,0.25,0,Cl1
a55,0.2,0.21447,0.097826,0.555997,0.529762,0.416667,1,Cl3
a56,0.4,0.258398,0.152174,0.194783,0.613095,0,0.5,Cl2
a57,1,0.093023,0.130435,0.737737,0.565476,0,1,Cl3
a58,1,0.131783,0.918478,0.374256,0.39881,0.666667,1,Cl3
a59,0.2,0.470284,0.255435,0.713354,0.363095,0.416667,0.5,Cl2
a60,0.4,0.196382,0.271739,0.626028,0.059524,0.416667,1,Cl2
a61,0,0.093023,0.195652,0.241282,0.815476,0.666667,1,Cl3
a62,0,0.095607,0.076087,0.69209,0.988095,0.25,0,Cl1
a63,1,0.02584,0.081522,0.313864,0.39881,0.166667,0.5,Cl2
a64,0,0.224806,0.016304,0.237596,0.60119,0.5,0,Cl1
a65,0.4,0.258398,0.521739,0.166997,0.27381,0.25,1,Cl2
a66,0.4,0.059432,0.826087,0.258577,0.363095,0.25,0.5,Cl2
a67,0.2,0.728682,0.076087,0.040261,0.202381,1,0,Cl1
a68,0.2,1,0.451087,0.754466,0.119048,0.083333,0.5,Cl2
a69,0.4,0.21447,0.309783,0.099802,0.244048,0.166667,1,Cl2
a70,0.6,0.136951,0.092391,0.217465,0.375,1,0,Cl1
a71,0,0.007752,0.01087,0.203289,0.642857,0.583333,1,Cl2
a72,0.4,0.139535,0.130435,0.264247,1,1,1,Cl3
a73,0.2,0.335917,0.880435,0.453076,0.583333,0.166667,0.5,Cl2
a74,0.2,0.007752,0.782609,0.289481,0.607143,0.666667,0.5,Cl2
a75,0.6,0.702842,0.282609,0.172101,0.458333,0.083333,0,Cl2
a76,0.2,0.514212,0.097826,0.383329,0.553571,0,1,Cl3
a77,0.6,0.103359,0.076087,0.3408,0.470238,0.333333,0,Cl1
a78,0,0.405685,0.233696,0.251489,0.630952,0.25,0.5,Cl2
a79,0.4,0.731266,0.472826,0.523391,0.369048,0.5,0,Cl2
a80,0,0.224806,0.538043,0.552878,0.416667,0.833333,0.5,Cl2
a81,0,0.118863,0.103261,0.286929,0.482143,0.166667,1,Cl2
a82,0.4,0.010336,0.972826,0.723561,0.821429,0.416667,0,Cl2
a83,1,0.136951,0.01087,0.119648,0.410714,0.5,0,Cl1
a84,1,0.932817,0,0.705132,0.434524,0.916667,1,Cl3
a85,1,0.22739,0.043478,0.152254,0.291667,0.333333,0.5,Cl2
a86,0.4,0.186047,0.565217,0.254607,0.357143,0.583333,0,Cl1
a87,0.2,0.010336,0,0.05302,0.14881,0.25,0.5,Cl1
a88,0.6,0.338501,0.119565,0.81911,0.47619,0.083333,1,Cl3
a89,0.2,0.258398,0.358696,0.289765,0.803571,0.666667,1,Cl3
a90,0.2,0.03876,0.402174,0.801531,0.625,0,0.5,Cl2
a91,0.2,0.093023,0.179348,0.647576,0.559524,0.166667,0,Cl1
a92,0.2,0.612403,0.038043,0.124185,0.029762,0.083333,0,Cl1
a93,0.2,0.136951,0.211957,0.885172,0.559524,0.916667,1,Cl3
a94,1,0.173127,0.483696,0.155089,0.452381,0.583333,0,Cl2
a95,0.4,0.731266,0.592391,0.101219,0.196429,0.666667,0.5,Cl2
a96,0.6,0.162791,0.190217,0.459314,0.654762,1,0,Cl2
a97,0.6,0.054264,0.554348,0.673377,0.422619,0,0,Cl1
a98,1,0.29199,0.728261,0.500992,0,0.083333,0.5,Cl2
a99,0.6,1,1,0.933655,0.244048,0.166667,0.5,Cl3
a100,0,0.335917,0.358696,0.101219,0.845238,0.833333,0.5,Cl2
a101,0,0.031008,0.293478,0.094131,0.636905,0.833333,0,Cl1
a102,0,0.160207,0.918478,0.163312,0.815476,0.083333,0.5,Cl2
a103,0.2,0.496124,0.016304,0.716473,0.196429,0.666667,0,Cl1
a104,0.2,0.18863,0.657609,0.540686,0.77381,0.75,0.5,Cl2
a105,0.6,0.043928,0.217391,0.237596,0,0.166667,1,Cl2
a106,0.6,0.095607,0.798913,0.271902,0.815476,0.583333,1,Cl3
a107,0.4,0.496124,1,0.874965,0.583333,0.5,0,Cl2
a108,0,0.271318,0.11413,0.367735,0.678571,0.833333,1,Cl3
a109,0.6,0.059432,0.065217,0.067196,0.666667,0.75,0,Cl1
a110,0.6,0.131783,0.228261,0.179189,0.464286,0.833333,1,Cl3
a111,0,0.170543,0.217391,0.315282,0.52381,0.666667,0,Cl1
a112,0.2,0.072351,0.206522,0.172952,0.446429,0.25,1,Cl2
a113,1,0.604651,0.157609,0.279841,0.35119,0.833333,0.5,Cl3
a114,0.6,0.21447,0.565217,0.716473,0.285714,0.5,1,Cl3
a115,1,0.100775,0.619565,0.153672,0.333333,0.416667,1,Cl3
a116,1,1,0.168478,0.648426,0.345238,0.083333,0,Cl2
a117,0.2,0.198966,0.559783,0.338531,0.77381,0.5,0,Cl2
a118,0,0.043928,0.592391,0.768925,0.577381,0.916667,0,Cl1
a119,0.4,0.490956,0.456522,0.737737,0.839286,0.416667,1,Cl3
a120,0.2,0.612403,0.521739,0.749646,0.60119,0.833333,1,Cl3
a121,0.6,0.612403,0.826087,0.382478,0.684524,0.083333,0,Cl2
a122,0.6,0.20155,0.375,0.3408,0.357143,1,1,Cl3
a123,0.2,0.22739,0.26087,0.10689,0.541667,0.333333,0.5,Cl2
a124,0.6,0.028424,0.081522,0.063227,0.827381,0.5,0,Cl1
a125,0.4,0.271318,0.429348,0.232776,0.720238,0.333333,0,Cl2
a126,0.2,0.054264,0.043478,0.567054,0.488095,0.083333,0,Cl1
a127,0,0.514212,0.701087,0.067196,0.434524,0.583333,0.5,Cl2
a128,0.2,0.103359,0.347826,0.469804,0.369048,0.166667,0.5,Cl1
a129,0.2,0.095607,0.521739,0.472073,0.755952,0.416667,0,Cl1
a130,0.4,0.043928,0.032609,0,0.678571,0.166667,0.5,Cl2
a131,0.2,0.010336,0.483696,0.493337,0.559524,0.166667,0,Cl1
a132,0,0.121447,0.293478,0.311313,0.39881,0.416667,0.5,Cl1
a133,0.4,0.224806,0.038043,0.279841,0.666667,1,0.5,Cl2
a134,0,0.059432,0.119565,0.166997,0.595238,0.916667,0,Cl1
a135,0,0.173127,0.097826,0.267366,0.357143,0.416667,0.5,Cl1
a136,0.6,0.754522,0.233696,0.754466,0.577381,0.416667,0.5,Cl3
a137,1,0.832041,0,0.203289,0.517857,0.5,0,Cl2
a138,0.2,0.617571,0.728261,0.085625,0.464286,0.5,1,Cl3
a139,0.2,0.031008,0.309783,0.289765,0.464286,0.833333,0.5,Cl2
a140,0,0.335917,0.826087,1,0.357143,0.916667,0.5,Cl2
a141,0.2,0.046512,0.255435,0.659768,0.595238,0.416667,1,Cl3
a142,1,0.093023,0.179348,0.495322,0.190476,0.666667,0,Cl1
a143,0.4,0.005168,0.271739,0.513751,0.690476,0.083333,0,Cl1
a144,0.4,0.198966,0.320652,0.417352,0.178571,0.5,0.5,Cl1
a145,0,0.02584,0.097826,0.188546,0.666667,0,1,Cl2
a146,0,0.136951,0.13587,0.145449,0.684524,0.916667,0.5,Cl2
a147,0.2,0.05168,0.782609,0.713354,0.333333,0.916667,0,Cl1
a148,0.6,0.085271,0.472826,0.099802,0.488095,0.416667,1,Cl3
a149,0,0.20155,0.413043,0.366033,0.190476,0.833333,0.5,Cl1
a150,0.4,0.033592,0.576087,0.221718,0.25,0.75,0,Cl1
a151,1,0.113695,0.51087,0.933655,0.214286,0.833333,0.5,Cl3
a152,1,0.604651,0.494565,0.577828,0.690476,0.416667,0.5,Cl3
a153,0.6,0.604651,0.163043,0.300255,0.339286,0.583333,0,Cl1
a154,0.2,0.813953,1,0.29827,0.595238,0.666667,0,Cl2
a155,0.4,0.02584,0.826087,0.24837,0.666667,0.833333,1,Cl3
a156,0.6,0.131783,0.168478,0.148001,0.488095,0.833333,0,Cl1
a157,1,0.186047,0.456522,0.085625,0.517857,0.75,1,Cl3
a158,1,0.108527,0.565217,0.51687,0.369048,0,0,Cl2
a159,0.4,0.609819,0.222826,0.311313,0.345238,0,1,Cl3
a160,0.2,0.108527,0.255435,0.223419,0.434524,0.75,1,Cl2
a161,0,0.96124,0.945652,0.648426,0.345238,0.916667,1,Cl3
a162,0.4,0.05168,0.483696,0.338531,0.47619,0.083333,0,Cl1
a163,1,0.405685,0.125,0.144882,0.089286,0.416667,0,Cl1
a164,0,0.095607,0.592391,0.051602,0.208333,0,1,Cl2
a165,0,0.26615,0.836957,0.320953,0.5,0.083333,0,Cl1
a166,0,0.031008,0.217391,0.589736,0.755952,0.5,0,Cl1
a167,0.4,0.245478,0.038043,0.516019,0.285714,0.916667,1,Cl2
a168,0.6,0.093023,0.217391,0.778849,0.446429,0.416667,0,Cl1
a169,1,0.702842,0.494565,0.581514,0.190476,0.666667,1,Cl3
a170,1,0.245478,0.152174,0.092713,0.630952,0.666667,0,Cl2
a171,0,0.470284,0.375,0.613553,0.5,0.916667,0,Cl1
a172,0.2,0.604651,0.646739,0.778849,0.934524,0.416667,1,Cl3
a173,0.4,0.501292,0.282609,0.105472,0.452381,0.083333,1,Cl3
a174,0.6,1,0.375,0.437199,0.607143,0,0.5,Cl3
a175,0,0.645995,1,0.354976,0.059524,0.166667,0.5,Cl1
a176,0.2,0.108527,0.130435,0.379076,0.821429,0.25,0.5,Cl2
a177,0.2,0.059432,0.11413,0.493337,0.77381,0.833333,0,Cl1
a178,0,0.095607,0.190217,0.130706,0.059524,0.333333,1,Cl1
a179,0.2,0.02584,0.043478,0.704565,0.363095,1,0,Cl1
a180,0.4,0.496124,0.217391,0.335129,0.27381,0.916667,0.5,Cl2
a181,0.6,0.100775,0.032609,0.468103,0.678571,0.833333,1,Cl3
a182,0.6,0.118863,0.559783,0.515169,0.452381,0.416667,0,Cl1
a183,1,0.113695,0.190217,0.345903,0.440476,0.25,0.5,Cl2
a184,0,0.18863,0.190217,0.258577,0.059524,0.416667,1,Cl1
a185,0.4,0.470284,0.467391,0.306493,0.25,0.416667,0.5,Cl2
a186,0.4,0.20155,0.619565,0.737737,0.363095,0.916667,0,Cl1
a187,0.2,0.997416,0.163043,0.179189,0.827381,0.166667,0.5,Cl3
a188,0,0.077519,0.581522,0.072016,0.440476,0.333333,0.5,Cl1
a189,0,0.245478,0.413043,0.17607,0.244048,0.916667,1,Cl2
a190,1,0.170543,0.043478,0.208959,0.244048,1,1,Cl3
a191,0.4,0.501292,0.336957,0.397505,0.291667,0.833333,0.5,Cl2
a192,0.6,0.421189,0.119565,0.163312,0.458333,0.916667,0.5,Cl2
a193,0.2,0.258398,0.130435,0.739155,0.827381,0.916667,0.5,Cl3
a194,0.2,0.028424,0.13587,0.352141,0.422619,0.416667,0,Cl1
a195,0,0.116279,0.043478,0.225404,0.434524,0.333333,0,Cl1
a196,0,0.162791,0.358696,0.232776,0.625,0.583333,1,Cl2
a197,0.6,0.612403,0.141304,0.21463,0.690476,1,1,Cl3
a198,0,0.423773,0.581522,0.513751,0.416667,0.833333,0.5,Cl2
a199,0,0.645995,0.782609,0.2685,0.625,0.166667,1,Cl3
a200,0.6,0.136951,0.559783,0.659768,0.571429,0.916667,0.5,Cl3
a201,0,0.932817,0.402174,0.277573,0.214286,0.333333,0,Cl1
a202,0.4,0.196382,0.141304,0.193365,0.285714,0.75,0,Cl1
a203,0.4,0.095607,0.972826,0.171817,0.428571,0.333333,0.5,Cl2
a204,0.2,0.033592,0.092391,0.333428,0.363095,0.583333,0.5,Cl1
a205,0.6,0.111111,0.309783,0.278424,0.428571,0,1,Cl3
a206,0,0.054264,0.505435,0.501276,0.625,0.75,0,Cl1
a207,0.4,0.612403,0,0.158208,0.244048,0.5,1,Cl2
a208,0,0.056848,0.494565,0.276155,0.690476,0.916667,1,Cl3
a209,1,0.857881,0.184783,0.172101,0.089286,0.666667,1,Cl3
a210,1,0.093023,0.141304,0.133825,0.291667,0.833333,1,Cl3
a211,0,0.056848,0.163043,0.650411,0.52381,0,1,Cl2
a212,1,0.170543,0.217391,0.81911,0.297619,1,0,Cl2
a213,0,0.245478,0.673913,0.458463,0.434524,0.583333,0,Cl1
a214,0.6,0.501292,0.358696,0.365183,0.625,1,0.5,Cl3
a215,0.6,0.196382,0.038043,0.459314,0.440476,0.083333,0.5,Cl2
a216,0.2,0.617571,0.918478,0.143748,0.517857,0.5,0,Cl1
a217,0.6,0.731266,0.619565,0.543521,0.60119,1,1,Cl3
a218,1,0.609819,0.320652,0.366033,0.678571,0.75,0.5,Cl3
a219,0.2,0.173127,0.081522,0.095549,0.178571,0.75,0,Cl1
a220,0,0.113695,0.619565,0.163595,0.547619,0.75,0.5,Cl2
a221,0.6,0.031008,0.25,0.523391,0.363095,0.083333,0.5,Cl2
a222,0.4,0.29199,0.592391,0.062659,0.559524,0.583333,0,Cl1
a223,1,0.258398,0.25,0.383329,0.988095,0.416667,1,Cl3
a224,0.6,0.170543,0.429348,0.122484,0.60119,0.833333,0,Cl2
a225,0.6,0.612403,0.032609,0.148001,0.208333,0.5,0.5,Cl2
a226,0.2,0.162791,0.945652,0.105472,0.059524,0.833333,0.5,Cl1
a227,0.4,0.21447,0.451087,0.500992,0.571429,0.583333,1,Cl3
a228,0.2,0.421189,0.581522,0.874965,0.297619,0.166667,1,Cl3
a229,0.4,0.031008,0.483696,0.301956,0.571429,0.916667,1,Cl3
a230,0.6,0.010336,0.467391,0.703998,0.345238,0.833333,0.5,Cl2
a231,0.4,0.617571,0.36413,0.323788,0.357143,0.166667,1,Cl3
a232,0.2,0.335917,0.277174,0.785937,0.613095,0.333333,0,Cl1
a233,0.4,0.335917,0.038043,0.24355,0.452381,0.916667,1,Cl3
a234,0.6,0.121447,0.836957,0.506379,0.327381,0.333333,0,Cl1
a235,0.2,0.341085,0.36413,0.191948,0.345238,0.916667,0,Cl1
a236,0.6,0.754522,0.086957,0.862206,0.547619,0.083333,1,Cl3
a237,0.6,0.18863,0.190217,0.217182,0.416667,0.166667,1,Cl3
a238,0.4,0.162791,0.13587,0.856252,0.511905,0,0,Cl1
a239,1,0.609819,0.130435,0.150836,0.208333,0.083333,0.5,Cl2
a240,0.2,0.136951,0.347826,0.500992,0.285714,1,1,Cl2
a241,1,0.341085,0.11413,0.554862,0.410714,0.166667,0.5,Cl3
a242,0.4,0.095607,0.043478,0.072016,0.595238,0.083333,0.5,Cl2
a243,0.2,0.470284,0.233696,0.716756,0.60119,0.166667,1,Cl3
a244,0.2,0.26615,0.190217,0.700028,0.720238,1,1,Cl3
a245,0,0.170543,0.413043,0.115112,0.625,0.5,0,Cl1
a246,0,0.26615,0.358696,0.730649,0.5,0.416667,0.5,Cl2
a247,0.6,0.224806,0.266304,0.119648,0.827381,0.916667,0,Cl2
a248,0.6,0.857881,0.277174,0.223419,0.27381,1,0,Cl2
a249,0.2,0.170543,0.413043,0.167848,0.35119,0.416667,0.5,Cl1
a250,0.2,0.139535,0.190217,0.583782,0.059524,1,0,Cl1
a251,1,0.031008,0.483696,0.716756,0.404762,1,0,Cl2
a252,1,0.423773,0.375,0.866175,0.375,0.833333,0,Cl2
a253,1,0.108527,0.130435,0.128154,0.119048,0.166667,0.5,Cl2
a254,1,0.103359,0.36413,0.51772,0.089286,1,1,Cl3
a255,0,0.198966,0.559783,0.217182,0.39881,0.166667,1,Cl2
a256,0.4,0.258398,0.608696,0.7556,0.089286,0.083333,0,Cl1
a257,0.6,0.124031,0.233696,0.785086,0.755952,0.166667,0.5,Cl3
a258,0,1,0.282609,0.085625,0.369048,0.75,0,Cl1
a259,1,0.005168,0.521739,0.783385,0.77381,0.416667,0,Cl3
a260,1,0.031008,0.505435,0.478877,0.589286,0.833333,0.5,Cl3
a261,0.6,0.139535,0.228261,0.397505,0.505952,0,1,Cl3
a262,1,0.421189,0.038043,0.208959,0.25,0.75,0,Cl1
a263,0.4,0.116279,0.201087,0.166997,0.410714,0.666667,0.5,Cl2
a264,1,0.056848,0.163043,0.289481,0.327381,0.25,0.5,Cl2
a265,0.6,0.338501,0.173913,0.062943,0.613095,0.833333,1,Cl3
a266,0,0.056848,0.211957,0.469804,0.708333,0.25,0.5,Cl2
a267,0.2,0.338501,0.032609,0.225404,0.625,0.333333,1,Cl3
a268,0.2,0.100775,0.103261,0.884321,0.422619,0.583333,1,Cl3
a269,1,0.297158,0.836957,0.388716,0.482143,0.083333,0.5,Cl3
a270,1,0.754522,0.782609,0.102637,0.738095,0.5,1,Cl3
a271,0.6,0.043928,0.467391,0.715055,1,0.666667,0.5,Cl3
a272,0.4,0.085271,0.038043,0.158208,0.363095,0.75,1,Cl2
a273,0.2,0.043928,0.038043,0.438049,0.297619,0.166667,1,Cl2
a274,0.4,0.028424,0.092391,0.796428,0.720238,0.5,0,Cl2
a275,1,0.054264,0.076087,0.129572,0.821429,0.5,1,Cl3
a276,0.6,0.997416,0.380435,0.16643,0.636905,0.75,0,Cl2
a277,0.4,0.077519,0.581522,0.323788,0.291667,0.833333,0.5,Cl2
a278,0,0.162791,0.038043,0.462716,0.47619,0,0,Cl1
a279,0.4,0.056848,1,0.62858,0.744048,0,0.5,Cl3
a280,0.6,0,0.836957,0.345052,0.089286,0.416667,0,Cl1
a281,0,0.198966,0.163043,0.396654,0.39881,0.666667,0.5,Cl1
a282,0.4,0.728682,0,0.581514,0.428571,0.833333,1,Cl3
a283,0.4,0.186047,1,0.464134,0.309524,0.25,0.5,Cl2
a284,0.6,0.405685,0.277174,0.387298,0.821429,0.333333,0.5,Cl3
a285,0.6,0.604651,0.505435,0.311313,0.297619,0.333333,1,Cl3
a286,0.2,0.857881,0.108696,0.128154,0.654762,0.833333,0.5,Cl2
a287,1,0.514212,0.108696,0.885172,0.589286,0.083333,1,Cl3
a288,0.6,0.423773,0.51087,0.254607,0.35119,0.25,1,Cl3
a289,1,0.338501,0.01087,0.40431,0,0.333333,0,Cl1
a290,0.4,0.496124,0.505435,0.299688,0.755952,0,0,Cl2
a291,1,0.111111,0.092391,0.806067,0.690476,0.083333,0,Cl2
a292,1,0.341085,0.945652,0.152254,0.934524,1,1,Cl3
a293,1,1,0.36413,0.276155,0.839286,0.416667,0.5,Cl3
a294,0.4,0.111111,0.222826,0.569039,0.440476,1,1,Cl3
a295,0.6,0.496124,0.505435,0.289765,0.464286,1,0.5,Cl3
a296,0.6,0.196382,1,0.40431,0.654762,0.916667,1,Cl3
a297,0.2,0.271318,0.380435,0.323788,0.77381,0.083333,1,Cl3
a298,0.4,0.470284,1,0.66402,0.214286,0.083333,1,Cl3
a299,0.6,0.245478,0.201087,0.373405,0.720238,0.083333,1,Cl3
a300,1,0.341085,0.271739,0.388716,0.27381,0.25,0.5,Cl2
a301,1,1,0.918478,0.254607,0.690476,0.083333,1,Cl3
a302,0.6,0.186047,0.179348,0.797278,0.505952,0.083333,1,Cl3
a303,0.6,0.007752,0.826087,0.062943,0.202381,0,0.5,Cl1
a304,0.4,0.514212,0.25,0.352141,0.39881,0.666667,0.5,Cl2
a305,0.2,0.728682,0.271739,0.598809,0.654762,0.833333,1,Cl3
a306,0.6,0.341085,0.347826,0.554862,0.535714,0.5,1,Cl3
a307,0.2,0.470284,0.467391,0.291182,0.589286,0.416667,1,Cl3
a308,0.6,0.20155,0.282609,0.76042,0.327381,0.583333,1,Cl3
a309,0.6,0.196382,0.945652,0.626028,0.553571,0.666667,1,Cl3
a310,1,0.046512,0.032609,0.225404,0.535714,0.333333,0,Cl2
a311,0.4,0.196382,0.097826,0.506379,0.029762,0.833333,0,Cl1
a312,1,0.470284,0.038043,0.228806,0.517857,0.666667,1,Cl3
a313,0.6,0.093023,0.836957,0.336547,0.565476,0.833333,0.5,Cl3
a314,0.4,0.007752,0.195652,0.583782,0.595238,0.083333,0.5,Cl2
a315,0,0.139535,0.086957,0.138078,0.446429,0.75,1,Cl2
a316,0,0.072351,1,0.438616,0.452381,1,0,Cl1
a317,0,0.121447,0.065217,0.581514,0.422619,0.75,1,Cl2
a318,0.2,0.514212,0.190217,0.427559,0.755952,0.666667,1,Cl3
a319,0,0.29199,0,0.140913,0.488095,0.583333,1,Cl2
a320,0.2,0.514212,0.076087,0.699461,0.571429,0.75,0,Cl1
a321,0.4,1,0.945652,0.352141,0.839286,0.25,0,Cl3
a322,1,0.131783,0.23913,0.145449,0.47619,0.666667,1,Cl3
a323,0,0.043928,0.608696,0.737737,0.297619,0.166667,0,Cl1
a324,0.2,0.043928,1,0.045364,0.208333,0.833333,0,Cl1
a325,0.4,0.136951,0.576087,0.231642,0.39881,0.5,1,Cl3
a326,1,0.007752,0.701087,0.368869,0.184524,0.25,0,Cl1
a327,0.4,0.056848,0.157609,0.754466,0.452381,0.333333,1,Cl3
a328,0.4,0.245478,0.336957,0.24355,0.363095,1,0,Cl1
a329,0,0.470284,0.173913,0.174936,0.309524,0.666667,0,Cl1
a330,1,0.18863,0.36413,0.515736,0.720238,0.666667,1,Cl3
a331,0.4,0.054264,0.195652,0.17607,0.517857,0,0,Cl1
a332,0,0.857881,0.13587,0.352141,0.708333,0,0.5,Cl2
a333,0.2,0.21447,0.233696,0.336547,0.488095,0.25,0,Cl1
a334,0,0.124031,0.467391,0.51687,0.547619,0.916667,0.5,Cl2
a335,1,0.077519,0.798913,0.631415,0.446429,0.083333,1,Cl3
a336,0.4,0.813953,0.222826,0.716756,0.505952,0.666667,0,Cl2
a337,0.6,0.423773,0.293478,0.045364,0.583333,0.166667,0,Cl1
a338,0.6,0.421189,0.26087,0.435781,0.470238,1,0,Cl2
a339,0,0.131783,0.081522,0.311313,0.297619,0.166667,0.5,Cl1
a340,0.4,0.496124,0.195652,0.289765,0.285714,0.25,1,Cl2
a341,0.4,0.405685,0.380435,0.166997,0.60119,0.416667,0,Cl1
a342,0.4,0.501292,0.483696,0.237596,0.369048,0.833333,0.5,Cl2
a343,1,0.160207,0.097826,0.172101,0.291667,0.666667,0,Cl1
a344,0.6,0.121447,0.608696,0.464134,0.583333,0,0,Cl2
a345,0.2,0.136951,0.380435,0.329175,0.708333,0.75,0,Cl1
a346,0.2,0.160207,0.836957,0.182024,0.446429,0,0.5,Cl2
a347,1,0.29199,0.125,0.768925,0.845238,1,0.5,Cl3
a348,0.2,0.186047,0.673913,0.188829,0.339286,0.75,1,Cl2
a349,0.6,0.271318,0.380435,0.301956,0.607143,0.833333,0,Cl2
a350,0.6,0.033592,0.032609,0.468103,0.547619,0.416667,0,Cl1
a351,0.6,0.033592,0.293478,0.329175,0.678571,0,0.5,Cl2
a352,0.6,0.423773,0.293478,0.109725,0.25,0.916667,0.5,Cl2
a353,0.6,0.100775,0.184783,0.231642,0.089286,0.333333,0,Cl1
a354,1,0.702842,0.222826,0.335129,0.934524,0.416667,1,Cl3
a355,0.4,0.245478,0.065217,0.432662,0.27381,0.666667,0.5,Cl2
a356,0.6,0.010336,0.826087,0.128154,0.244048,0.083333,0.5,Cl2
a357,0.2,0.21447,0.304348,0.576127,0.77381,0.916667,0,Cl2
a358,0.4,0.224806,0.152174,0.760136,0.470238,0.25,0.5,Cl2
a359,0.4,0.05168,0.13587,0.116813,0.934524,0.333333,1,Cl3
a360,0,0.297158,0.826087,0.713354,0.922619,1,0,Cl2
a361,0.4,0.731266,0.619565,0.468387,0.029762,0.5,0,Cl1
a362,0,0.186047,0.798913,0.193365,0.5,0.333333,1,Cl2
a363,1,0.245478,0.972826,0.806351,0.386905,0.166667,1,Cl3
a364,1,0.245478,0.891304,0.366033,0.458333,0.583333,0,Cl2
a365,0,0.20155,0.972826,0.601644,0.595238,1,0.5,Cl2
a366,1,0.05168,0.255435,0.166997,0.184524,0.166667,0.5,Cl2
a367,1,0.997416,0.282609,0.18486,0.547619,0.583333,0,Cl2
a368,0.6,0.131783,0.891304,0.946413,0.547619,0.666667,0.5,Cl3
